"","Country.Name","Time","Region","Polity","Polity.Sim","Pub.Opinion","Share","Member","GDP","GDP.Growth","Capital","Air","Port","Debt"
"1","Australia",2008,6,10,17,52,0,1,1054557743957.03,3.70669950604605,64.8491335746018,2212.439,4.77188910148113,207568838878.375
"2","Australia",2009,6,10,17,53.5221310240078,0,1,926563834486.821,1.81967826084417,136.19238017194,2769.286,4.6486865,206386054261.938
"3","Australia",2010,6,10,17,48.8065456322266,0,1,1142250506474.06,2.01818214420197,127.335515436957,2938.314378037,4.8610048366,291794136892.131
"4","Australia",2011,6,10,17,38.431855127504,0,1,1389919156068.22,2.37956133560841,86.2055469031313,2846.59879756427,5.1,330012622436.098
"5","Australia",2012,6,10,17,53.6839549124932,0,1,1537477830480.51,3.63272030319823,90.204485066725,2731.69798,5.1,346342035223.008
"6","Australia",2013,6,10,17,58,0,1,1563950959269.52,2.44004906206246,87.3402149795032,1984.693734,5,359369443267.326
"7","Australia",2014,6,10,17,39.1317086052381,0,1,1454675479665.84,2.4998512224341,88.5907790441367,1907.43643,5,317209198673.946
"8","Australia",2015,6,10,17,57,3691.2,1,1339140527498.13,2.24002857543144,88.6451739473369,1887.29582,4.98650344390443,305159210059.221
"9","Canada",2008,4,10,17,54.1046236910052,0,1,1549131208997.19,1.00036097295921,66.7246133830795,1388.665,5.77829531692084,328110232807.665
"10","Canada",2009,4,10,17,53,0,1,1371153004986.44,-2.94958764276713,122.337311292009,1346.938,5.6129212045,399465557461.685
"11","Canada",2010,4,10,17,39.6587834287476,0,1,1613406134731.12,3.08351421988722,134.572120017496,1957.32853635002,5.6848688947,343565121705.891
"12","Canada",2011,4,10,17,49.3505313351923,0,1,1788703385548.26,3.1412190013904,106.9418208438,1980,5.8,401336336832.035
"13","Canada",2012,4,10,17,53.4260028113096,0,1,1824288757447.57,1.74547228318005,112.919271775933,1960,5.7,478814222644.502
"14","Canada",2013,4,10,17,43,0,1,1842628005830.18,2.4750018591249,114.717770668401,1946.30559714895,5.5,322706281958.359
"15","Canada",2014,4,10,17,39.6986241083376,0,1,1792883225804.38,2.56529927402018,116.87435354636,2084.318163,5.5,321233049684.253
"16","Canada",2015,4,10,17,39,995,1,1552807652015.37,0.941675857004995,102.614080883227,2074.830881067,5.45897377843911,363725720587.461
"17","China",2008,1,-7,0,95,0,1,4598205419718.8,9.65428937259925,38.6843100217298,11386.055,4.32238683967865,380164840000
"18","China",2009,1,-7,0,95,0,1,5109954035775.98,9.39981317141532,69.9253346504397,11976.438,4.278193043,447662212000
"19","China",2010,1,-7,0,97,0,1,6100620356557.32,10.6361404632297,66.0234544126424,17193.8774,4.321479666,734465434000
