"","code","Country.Name","IMF.Share","AIIB.Share","Subscription.Difference","absidealdiff","membership","polity.diff","Import.from.china","GDP","Import.Dependence","Opinion.Change"
"129",705,"Kazakhstan",1158.4,729.3,429.1,0.322,0,1,5839.999133,1.84388e+11,0.031672264,0
"130",712,"Mongolia",72.3,41.1,31.2,0.258,1,17,3752.770181,11741338841,0.319620295,0
"131",732,"Korea",8582.7,3738.7,4844,1.423,1,15,174288.626,1.38276e+12,0.126043651,13
"132",740,"Japan",30820.5,0,30820.5,1.452,0,17,142715.6633,4.38308e+12,0.032560616,-5
"133",750,"India",13114.4,8367.3,4747.1,0.039,1,16,13394.90278,2.11175e+12,0.006343031,-25.98278863
"134",760,"Bhutan",20.4,0,20.4,0.075,0,12,0.350067,2057947621,0.000170105,0
"135",770,"Pakistan",2031,1034.1,996.9,0.039,1,14,2478.683349,2.7105e+11,0.00914475,6
"136",771,"Bangladesh",1066.6,660.5,406.1,0.292,0,8,803.715525,1.95079e+11,0.004119958,0
"137",780,"Sri Lanka",578.8,269,309.8,0.351,1,13,259.218477,80611989527,0.003215632,0
"138",790,"Nepal",156.9,80.9,76,0.045,1,13,21.528237,21313549579,0.001010073,0
"139",800,"Thailand",3211.9,1427.5,1784.4,0.186,1,4,37212.70903,3.99235e+11,0.093210143,0
"140",811,"Cambodia",175,62.3,112.7,0.002,1,9,666.286816,18049954289,0.03691349,0
"141",812,"Lao People's Democratic Republic",105.8,43,62.8,0.375,1,0,1298.095704,14390323462,0.090206152,0
"142",820,"Malaysia",3633.8,109.5,3524.3,0.173,1,12,53226.89804,2.96283e+11,0.179648727,0
"143",830,"Singapore",3891.9,250,3641.9,0.168,1,5,26021.6868,2.96841e+11,0.087662125,13.84140769
"144",840,"Philippines",2042.9,979.1,1063.8,0.171,1,15,19022.14178,2.92774e+11,0.064972079,0
"145",850,"Indonesia",4648.4,3360.7,1287.7,0.368,1,16,19815.49345,8.61256e+11,0.02300766,-12.28506936
"146",900,"Australia",6572.4,3691.2,2881.2,2.058,1,17,65141.3819,1.34538e+12,0.048418461,5
"147",920,"New Zealand",1252.1,461.5,790.6,1.431,1,17,6583.320833,1.75564e+11,0.037498034,5
"148",940,"Solomon Islands",20.8,0,20.8,0.069,0,15,461.878827,1129164719,0.409044685,0
"149",950,"Fiji, Republic of",98.4,0,98.4,0.273,0,9,21.431199,4391064781,0.004880638,0
