"","Country.Name","Time","Pub.Opinion","Region","Polity","Polity.Sim","Share","Member","GDP","GDP.Growth","Capital","Air","Port","Debt"
"231","Poland",2014,32,3,10,17,0,1,545158979236.012,3.28257009347972,30.9809865439052,120.85182858,4,NA
"232","Poland",2015,40,3,10,17,831.8,1,477066454436.928,3.94091076226562,28.8784882522513,120.016465876,4.02132478290134,NA
"233","Russian Federation",2008,60,3,4,11,0,1,1660844408499.61,5.24795353223386,NA,2399.593,3.74796740598059,419280877000
"234","Russian Federation",2009,58,3,4,11,0,1,1222643696991.85,-7.82088502693726,62.3023642843905,2305.548,3.5491132554,406431158000
"235","Russian Federation",2010,60,3,4,11,0,1,1524915341870.26,4.50372562577255,62.3835005052322,3531.583,3.6574014134,417891602000
"236","Russian Federation",2011,63,3,4,11,0,1,2031768558633.76,4.26417656490521,38.5651587465696,3900.12005,3.7,544357733000
"237","Russian Federation",2012,62,3,4,11,0,1,2170143623038.25,3.51794186537009,38.0316058918028,4132.144,3.7,591835361000
"238","Russian Federation",2013,62,3,4,11,0,1,2230625004654.86,1.27945391093247,34.548909762591,4249.26882,3.9,668508338000
"239","Russian Federation",2014,64,3,4,11,0,1,2063662281004.85,0.731458212008192,18.7010579954043,4413.55935,3.9,549630538000
"240","Russian Federation",2015,79,3,4,11,6536.2,1,1365865245098.8,-2.82824081352503,28.7903774849732,4761.04707,3.93831980441758,467719708000
"241","Senegal",2008,NA,2,7,14,0,0,13375825205.0612,3.68252440345475,NA,0,3.79712144987485,2850926000
"242","Senegal",2009,NA,2,7,14,0,0,12771709949.8651,2.423175915652,NA,0,4.4311394615,3720889000
"243","Senegal",2010,NA,2,7,14,0,0,12914130614.1816,4.17936306277728,NA,0,4.7351042734,3909477000
"244","Senegal",2011,NA,2,7,14,0,0,14352023940.2661,1.76111804930498,NA,3.37578055142813,4.5,4325490000
"245","Senegal",2012,NA,2,7,14,0,0,14194124595.9323,4.41118028348777,NA,4.57883176764346,4.5,4905679000
"246","Senegal",2013,77,2,7,14,0,0,14806481145.049,3.48521734662029,NA,4.47306,4.8,5225562000
"247","Senegal",2014,71,2,7,14,0,0,15284658818.4015,4.31105102139782,NA,3.578448,4.4,5619669000
"248","Senegal",2015,70,2,7,14,0,0,13609989582.0353,6.48519475353841,NA,3.09552348483269,4.13444968775699,5893172000
"249","South Africa",2008,37,2,9,16,0,1,286769850239.675,3.19104388778322,168.323127273168,760.889,4.40377125343883,69960358000
"250","South Africa",2009,NA,2,9,16,0,1,295936471258.128,-1.5380891347741,269.998404253141,676.413,4.6620694482,79017426000
"251","South Africa",2010,NA,2,9,16,0,1,375349396273.835,3.03973462503471,246.438960388034,1025.562,4.7451007624,108391607000
"252","South Africa",2011,NA,2,9,16,0,1,416418862155.872,3.28419713479731,189.481601749503,1072.91477981187,4.7,116929482000
"253","South Africa",2012,NA,2,9,16,0,1,396342265529.842,2.21325897786599,229.025082345566,1174.66680577935,4.7,144958642000
"254","South Africa",2013,48,2,9,16,0,1,367593603380.597,2.33034225921693,256.482186123309,1122.986468,4.7,139789842000
"255","South Africa",2014,45,2,9,16,0,1,351304928727.413,1.62887154261438,265.846170557049,1042.73626391249,4.9,141102928000
"256","South Africa",2015,52,2,9,16,590.5,1,314571945857.401,1.26465137815678,233.951304206133,885.277990749,4.86988169970336,137887377000
"257","Spain",2008,31,3,10,17,0,1,1634989014208.29,1.11597275474762,58.0035878992875,1306.438,5.04591040322581,NA
"258","Spain",2009,40,3,10,17,0,1,1499074742984.16,-3.57381203047768,95.6950596835688,1079.589,5.1806028977,NA
"259","Spain",2010,47,3,10,17,0,1,1431672847682.12,0.013786543593227,81.8360830057553,1235.86488460144,5.6210553661,NA
"260","Spain",2011,55,3,10,17,0,1,1487924659438.42,-1.0000804875138,69.2903060286076,1313.29316795807,5.8,NA
"261","Spain",2012,49,3,10,17,0,1,1335945712662.3,-2.92981142936708,74.4856950823973,1131.85052008716,5.8,NA
"262","Spain",2013,48,3,10,17,0,1,1361775869855.87,-1.70589486797125,81.9930103562621,957.997754181,5.8,NA
"263","Spain",2014,39,3,10,17,0,1,1375856057716.82,1.37899828702557,72.1669686615111,962.636446,5.8,NA
"264","Spain",2015,41,3,10,17,1761.5,1,1192901186647.44,3.20468046422076,65.9897314891892,1040.913279272,5.65258103609085,NA
"265","Tanzania",2008,71,2,-1,6,0,0,27368386358.131,5.56659564830453,NA,1.446,2.82469659492257,6009852000
"266","Tanzania",2009,NA,2,-1,6,0,0,28573777052.4542,5.38234616843563,NA,0.781,2.81771,7685361000
"267","Tanzania",2010,NA,2,-1,6,0,0,31407908612.0943,6.3588860812992,NA,1.249246,3.0352723087,8893151000
"268","Tanzania",2011,NA,2,-1,6,0,0,33878631649.4157,7.90450757234741,NA,1.17475174011724,3.3,10012876000
"269","Tanzania",2012,NA,2,-1,6,0,0,39087748240.4403,5.14101362067316,NA,1.62798730741115,3.3,11588075000
"270","Tanzania",2013,77,2,-1,6,0,0,44333456244.744,7.2630600303699,NA,0.003641454,3.2,13140981000
"271","Tanzania",2014,74,2,-1,6,0,0,48197218326.7942,6.96513331674484,NA,0.564368726,3.3,14352454000
"272","Tanzania",2015,NA,2,3,10,0,0,45628247290.4618,6.95937442186003,NA,2.337440605,3.38011112213135,15049186000
"273","Tunisia",2008,NA,2,-4,3,0,0,44856586316.0458,4.23777683573512,NA,15.381,4.83303955689655,21381015000
"274","Tunisia",2009,NA,2,-4,3,0,0,43454935940.1614,3.04344895484181,NA,13.927,4.8721525789,22721908000
